Frequecy,Word
7278521,I
723562,food
669843,place
635679,time
614775,back
556459,said
555934,told
555279,service
480001,never
436964,asked
410969,came
378472,went
369733,order
355928,ordered
331087,minutes
284235,customer
277484,called
222382,wanted
218596,bad
214020,car
209355,wait
206572,staff
206476,manager
206211,restaurant
206080,experience
203473,left
201202,think
